Repository URL,Stars,Forks,Contributors,Test Files,Description
https://github.com/rollup/rollup,25792,1593,412,38,Next-generation ES module bundler
https://github.com/eslint/eslint,25991,4726,1165,35,Find and fix problems in your JavaScript code.
https://github.com/ai/nanoid,25693,822,145,4,"A tiny (124 bytes), secure, URL-friendly, unique string ID generator for JavaScript"
https://github.com/dimsemenov/PhotoSwipe,24681,3303,83,1,"JavaScript image gallery for mobile and desktop, modular, framework independent"
https://github.com/highlightjs/highlight.js,24381,3660,812,5,JavaScript syntax highlighter with language auto-detection and zero dependencies.
https://github.com/ramda/ramda,24010,1435,358,4,:ram: Practical functional Javascript
https://github.com/pure-css/pure,23719,2455,76,1,"A set of small, responsive CSS modules that you can use in every web project."
https://github.com/MostlyAdequate/mostly-adequate-guide,23675,1894,186,1,Mostly adequate guide to FP (in javascript)
https://github.com/validatorjs/validator.js,23511,2339,560,12,String validation
https://github.com/winstonjs/winston,23659,1828,407,30,A logger for just about everything.
https://github.com/jaredhanson/passport,23320,1240,38,24,"Simple, unobtrusive authentication for Node.js."
https://github.com/balderdashy/sails,22866,1941,288,77,Realtime MVC Framework for Node.js
https://github.com/jlmakes/scrollreveal,22508,2243,15,12,Animate elements as they scroll into view.
https://github.com/js-cookie/js-cookie,22364,2081,62,2,"A simple, lightweight JavaScript API for handling browser cookies"
https://github.com/rahuldkjain/github-profile-readme-generator,22915,7677,93,26,"🚀 Generate GitHub profile README easily with the latest add-ons like visitors count, GitHub stats, etc using minimal UI."
https://github.com/chalk/chalk,22444,871,65,1,🖍 Terminal string styling done right
https://github.com/processing/p5.js,22634,3500,814,20,"p5.js is a client-side JS platform that empowers artists, designers, students, and anyone to learn to code and express themselves creatively on the web. It is based on the core principles of Processing. http://twitter.com/p5xjs —"
https://github.com/websockets/ws,22245,2479,206,12,"Simple to use, blazing fast and thoroughly tested WebSocket client and server for Node.js"
